Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Silas Capital,New York,Consumer,"Growth Equity,Institutional Venture Capital (VC)",,"Growth,Series A,Seed",$5MM-$15MM,,United States,,https://www.silascapital.com,https://www.linkedin.com/company/silas-capital,United States
Silverlife Ventures,New York,"Enterprise,Blockchain,AI/ML,Robotics,Analytics,Future of Work",Venture Studio,$35MM,"Seed,Series A","$250-500k, $500-$1MM",NY,,,https://silverlifeventures.com,https://www.linkedin.com/company/silverlife-ventures,United States
Simple Food Ventures,New York,"Food,Consumer",Institutional Venture Capital (VC),"$2MM, $8MM","PreSeed,Seed,Series A","$100k, $200k",NY,United States,,https://simplefoodventures.com,https://www.linkedin.com/company/simple-food-ventures,United States
Simplex Investments,New York,Fintech,"Corporate Venture Capital (CVC),Family Office",,"Seed,Series A,PreSeed",$2MM,NY,"North America,Globally",,https://www.simplexinvestments.com,https://www.linkedin.com/company/simplex-investments,United States
Sixth Street Growth,"New York,San Francisco Bay Area,Austin","Software,Education,Future of Work,HRTech,Enterprise,All Sectors,Big Data,AI/ML,Cyber,Data,Biopharma,Biotech,Manufacturing,Diagnostics,AgTech,Life Sciences,Platforms","Growth Equity,Evergreen Fund","$9BN, $4.4BN, $6BN, $75BN","Growth,Series A,Series B","$25MM - $1BN+, $50MM - $300MM, $20MM+, $50MM-200MM, $10MM","NY,CA,TX","Globally,LatAm,United States,Europe,North America",,https://sixthstreet.com/growth,https://www.linkedin.com/company/sixth-street,United States
SJF Ventures,"Durham,Richmond,New York,San Francisco Bay Area",All Sectors,"Institutional Venture Capital (VC),Impact Fund","$125MM, $175M","Growth,Series A,Series B,PreSeed,Seed","$5MM, $3 - $8mm, $5M, $5-$10M","NC,VA,NY,CA","North America,United States",,https://sjfventures.com,https://www.linkedin.com/company/sjf-ventures,United States
SJI,New York,All Sectors,"Family Office,Other,Growth Equity",$100MM,"Growth,PreSeed,Series A,Seed,Secondary",$100k,NY,North America,,https://www.sji.com,https://www.linkedin.com/company/sji,United States
Smash Capital,New York,"Consumer,Technology",Growth Equity,$1BN,Series B,$25MM-$75MM,NY,Globally,"Founder of Anti-Racism Fund,  Podcaster",https://www.smashcap.com,https://www.linkedin.com/company/smash-capital,United States
Social Impact Capital,New York,"3D Printing,AgTech,AI/ML,Biotech,Clean Tech,Civic Tech,Diagnostics,Energy,Education,Deep Tech,Social Impact,Sustainability,Future of Work,Logistics",Institutional Venture Capital (VC),$22MM,"PreSeed,Seed",$1M,NY,Globally,,https://socialimpactcapital.com,https://www.linkedin.com/company/social-impact-capital,United States
Softbank Vision Fund,"San Francisco Bay Area,New York","Consumer,All Sectors,Software,Technology,AI/ML,Commerce,Creator Economy,Cyber,DevOps,Fintech,SaaS,Robotics,PropTech","Institutional Venture Capital (VC),Corporate Venture Capital (CVC),Growth Equity","$100BN, $160B, $160BN+","Growth,Series B","$200M-$2B, $100MM, $50-100M, $150k, $25M - $1B, Depends","CA,NY","Globally,United States,North America,LatAm",,https://visionfund.com,https://www.linkedin.com/company/softbank-vision-fund,United States
SoGal Ventures,New York,"Healthcare,Marketplaces,Technology,Consumer,Mobile,Commerce,Beauty,Community,Diversity,Future of Work",Institutional Venture Capital (VC),$15MM,"PreSeed,Seed,Series A","$100-350k, $1MM-$3MM",NY,,,https://www.sogalventures.com,https://www.linkedin.com/company/sogal-ventures,United States
Solera Capital,New York,"Commerce,Consumer,Diversity,Fashion,Fitness,Media,Lifestyle,Sustainability",Institutional Venture Capital (VC),,"Growth,Seed,Series A,Series B",$.01-10MM,NY,North America,,https://soleracapital.com,https://www.linkedin.com/company/solera-capital,United States
Solvay Ventures,New York,"Energy,Clean Tech,Healthcare,Hardware",Corporate Venture Capital (CVC),$100MM,"Seed,Series A,Series B",$500-3MM,NY,,,https://solvayventures.com,https://www.linkedin.com/company/solvay-ventures,United States
SOSV,"San Francisco Bay Area,New York,Los Angeles",All Sectors,"Accelerator Fund,Institutional Venture Capital (VC),Other","$277M, $1MM, $277MM core,  $100MM growth (select), $1.65BN, $277MM, $1.3BN AUM, $306MM","PreSeed,Seed,Series A,Series B,Growth","$250K, $275k, $250-2MM, $250K+, $500K, $525k, $250k-500k, $450k","CA,NY","Globally,Africa,North America,Europe,LatAm,Middle East,Oceania",,https://sosv.com,https://www.linkedin.com/company/sosv,"United States, U.S."
Space Capital,New York,Aerospace,Growth Equity,$100MM+ AUM,"PreSeed,Seed",$1MM,NY,Globally,,https://www.spacecapital.com,https://www.linkedin.com/company/space-capital,United States
Spero Ventures,"New York,San Francisco Bay Area","Healthcare,Food,AgTech,Future of Work,Female Founders,All Sectors",Institutional Venture Capital (VC),$100MM,"Seed,Series A","$250-500k, $500-$1MM, $1-$3MM, $2M","NY,CA",North America,,https://www.spero.vc,https://www.linkedin.com/company/spero-ventures,United States
Springbank Collective,New York,"Healthcare,Mental Health,Future of Work,Consumer,Care Economy",Institutional Venture Capital (VC),"Goal is $40-$50M,  we have ~1/2 committed.","PreSeed,Seed,Series A",$250-1.5MM,NY,North America,,https://www.springbankcollective.com,https://www.linkedin.com/company/springbank-collective,United States
Springcoast Capital Partners,New York,"Adtech,SaaS,Security,DevOps,Martech,Marketplaces,Technology,Data,Big Data,HRTech,Software,Mobile,Messaging",Growth Equity,$400MM,Growth,$40MM,NY,Globally,,https://www.springcoastcapital.com,https://www.linkedin.com/company/springcoast-capital-partners,United States
Stardust Equity,New York,Technology,Family Office,,,,NY,North America,,https://stardustequity.com,https://www.linkedin.com/company/stardust-equity,United States
Starta VC,New York,All Sectors,Accelerator Fund,$50MM,Seed,$250K,NY,LatAm,,https://starta.vc,https://www.linkedin.com/company/starta-ventures,United States
Starta Ventures,New York,"Technology,All Sectors","Accelerator Fund,Impact Fund",Raising new fund,"PreSeed,Seed,Series A","Less than $250k, $200K",NY,"LatAm,North America,Africa,United States",,https://www.startaventures.com,https://www.linkedin.com/company/starta-ventures,United States
StartFast Ventures,New York,"Software,SaaS",Institutional Venture Capital (VC),,"Seed,Series A",$1MM,NY,United States,,https://startfast.net,https://www.linkedin.com/company/startfast-ventures,United States
StartUp Health,"New York,Baltimore,Los Angeles,San Francisco Bay Area","Healthcare,AI/ML,AR/VR,Diagnostics,Femtech,Fitness,Health,Insurtech,Health Care Services,Technology,Wellness,Biotech","Institutional Venture Capital (VC),Accelerator Fund,Impact Fund","$12MM, $31MM, $30M+","Seed,PreSeed,Series A,Series B","$500K, $125-500k, $20-500k, $100k","NY,MD,CA",Globally,,https://www.startuphealth.com,https://www.linkedin.com/company/startup-health,United States
StarVest Partners,New York,"Technology,Enterprise,Big Data,Adtech,SaaS,Security",Institutional Venture Capital (VC),$415MM,"Series B,Growth",$3MM+,NY,,,https://starvestpartners.com,https://www.linkedin.com/company/starvest-partners,United States
Steadview,New York,"Enterprise,Commerce,All Sectors",Other,$5BN,Growth,$20M,NY,"United States,Asia",,https://www.steadview.com,https://www.linkedin.com/company/steadview-capital,United States
SteelSky Ventures,"New York,Seattle","Female Founders,Diagnostics,Healthcare,Health Care Services,Femtech,Health,Medtech,Mental Health","Impact Fund,Institutional Venture Capital (VC)","$10MM, $100MM","Seed,Series A,PreSeed","$150k-$250k, $1.5-2MM, $1MM - $5MM","NY,WA","North America,United States",,https://steelskyventures.com,https://www.linkedin.com/company/steelsky-ventures,United States
Stellation Capital,New York,"AI/ML,All Sectors,AR/VR,Blockchain,Care Economy,Clean Tech,Community,Consumer,Education,Female Founders,Diversity,Family Tech,Health,SaaS,Software,Mental Health,Technology",,$100MM,"PreSeed,Seed",$1.75MM,NY,United States,,https://stellationcapital.com,https://www.linkedin.com/company/stellation-capital,United States
Stelliger Partners,New York,"AgTech,Biotech,Biopharma,Cannabis,Life Sciences,Healthcare",Family Office,$10MM,"Seed,Series A",$300k,NY,United States,,https://www.stelliger.com,https://www.linkedin.com/company/stelliger-partners,United States
Stepstone Group,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity",core vehicle is $1BN,"Growth,Series B,Series A",Funds: $2MM - $30MM on avg,NY,Globally,,https://www.stepstonegroup.com,https://www.linkedin.com/company/stepstone-group,United States
Stonecourt Capital,New York,"Crypto,Technology,Healthcare,Software",Growth Equity,$500MM,"Growth,Series B",$50-100MM,NY,"Middle East,United States",,https://stonecourtcapital.com,https://www.linkedin.com/company/stonecourt-capital,United States
Stray,New York,"Civic Tech,Clean Tech,Media,Social Impact,Sustainability,Fintech","Family Office,Impact Fund",,Seed,$1MM,NY,"United States,North America,Europe,LatAm",,https://stray.vc,https://www.linkedin.com/company/stray,United States
Stray Dog Capital,"Kansas City,New York","AgTech,Food,Biotech","Impact Fund,Institutional Venture Capital (VC)",$75MM,"PreSeed,Seed,Series A","$2MM, $1MM","KS,NY",Globally,,https://www.straydogcapital.com,https://www.linkedin.com/company/stray-dog-capital,United States
Stripes Group,New York,"Consumer,Software,Adtech,AI/ML,Big Data,Cloud,Enterprise,SaaS,Cyber,All Sectors,Beauty,Fashion,Fitness,Fintech,Femtech,Female Founders,Food,Health,Healthcare,Health Care Services,Mental Health,Marketplaces,Retail,Wellness,Sustainability","Institutional Venture Capital (VC),Growth Equity","$550MM, $555MM, $600MM, $2.6BN, $6.5BN, $1.5BN","Growth,Series B,Series A","$10-100M, $10-100MM, $10-150MM, $10-$150M, $30MM, $10MM-$200MM",NY,"Globally,Europe,North America,United States",,https://www.stripes.co,https://www.linkedin.com/company/stripes,United States
Summit Partners,"San Francisco Bay Area,Boston,New York","Technology,Software,SaaS,Cloud,Enterprise,Future of Work,Supply Chain,Risk Management,HRTech,IoT,Manufacturing,All Sectors,Consumer,Beauty,Apparel,Community,Education,Female Founders,Lifestyle,Wellness,Retail,Influencer Network,Marketplaces,L&D,PetTech,Sustainability,Hardware","Institutional Venture Capital (VC),Growth Equity","$3.3B, $1BN, $8BN, $8.5BN","Growth,Series B","$75-150M, $10-60MM, $100MM, $100MM-$500MM","CA,MA,NY","North America,Globally",,https://www.summitpartners.com,https://www.linkedin.com/company/summit-partners,United States
Supernode Ventures,New York,"SaaS,Enterprise,Fintech,Consumer",Institutional Venture Capital (VC),,"PreSeed,Seed",Less than $250k,NY,,"No,  we participate in syndicates",https://www.supernode.vc,https://www.linkedin.com/company/supernode-ventures,United States
Susquehanna Growth Equity,"Philadelphia,New York","SaaS,Marketplaces,Software,Technology",Growth Equity,$1BN,Growth,"$50-100MM, $40-50MM, $30M","PA,NY","Globally,Europe,North America,Middle East,United States",,https://sgep.com,https://www.linkedin.com/company/susquehanna-growth-equity,United States
Suttona Capital LLC,New York,"Technology,Consumer,Enterprise,Healthcare,Apparel,Beauty,Female Founders,Food,Wellness",Growth Equity,,Growth,"$1MM-$3MM,
 $3MM-$9MM,
 $10MM+",NY,,,https://suttonacapital.com,https://www.linkedin.com/company/suttona-capital,United States
SWAT Equity Partners,New York,"Apparel,Commerce,Consumer,Fashion,Fitness,Female Founders,Food,Gaming,Lifestyle,Esports,Wellness,Health,Retail,PetTech,Marketplaces,Cannabis","Institutional Venture Capital (VC),Revenue Based Fund","$18.8MM, $17MM","Seed,Series A","$500k, $250K",NY,North America,Focus on consumer facing brands across all sectors and affiliated with a branding/marketing agency,https://www.swatequity.com,https://www.linkedin.com/company/swat-equity-partners,United States
Synchrony Ventures,New York,"Care Economy,Commerce,Consumer,Data,Fintech,Health,SaaS,PetTech,Web3,Wellness",Corporate Venture Capital (CVC),$100MM,"Series A,Series B",$5MM,NY,North America,,https://www.synchronyventures.com,https://www.linkedin.com/company/synchrony-ventures,United States
Taiwan Global Angels Fund,New York,Medtech,"Accelerator Fund,Angel Syndicate",,Seed,$1MM,NY,North America,,https://tga.fund,https://www.linkedin.com/company/taiwan-global-angels-fund,United States
TCV,"San Francisco Bay Area,New York","Consumer,Digital Media,Entertainment,Food,Marketplaces,Mobility,Technology,Fintech,Education,Enterprise,HRTech,All Sectors,AI/ML,Analytics,Big Data,Cloud,Cyber,Data,DevOps,Infrastructure,Networks","Institutional Venture Capital (VC),Growth Equity","$3.2BN, $4BN","Growth,Series B,Series A,Seed","$150MM, $30-$300MM, $50MM, $75MM, $100MM","CA,NY","Globally,United States,North America,LatAm",,https://www.tcv.com,https://www.linkedin.com/company/tcv,United States
TechConnect,"Boston,New York","AgTech,AI/ML,Biopharma,Biotech,Data,Female Founders,Health,Life Sciences,Social Impact,Sustainability","Impact Fund,Venture Studio",/,"PreSeed,Seed",/,MA,Globally,,https://techconnectventures.com,https://www.linkedin.com/company/techconnect,United States
Techstars,"Boulder,Denver,Washington DC,Boston,Minneapolis,Atlanta,New York,Austin,Miami,San Francisco Bay Area,Dallas",All Sectors,"Accelerator Fund,Institutional Venture Capital (VC),Impact Fund,Fundraising Platform","$150M, 96BN, $150MM, ~$3MM","Seed,PreSeed,Series A,Series B,Growth","$120k, $150k, $150-300k, up to $120K, $100K, $250k","CO,DC,MA,MN,GA,NY,TX,FL,CA","Globally,LatAm,United States,North America","We also invest in sports tech, Www.PaoCorrea.com",https://www.techstars.com/ventures,https://www.linkedin.com/company/techstars,United States
Tekfen Ventures,New York,"Industrial,AgTech,Construction Tech,Manufacturing,Supply Chain,Clean Tech",Corporate Venture Capital (CVC),$65MM,"Series A,Series B,Seed",$1MM - $5MM,NY,Globally,"Climate and industrials-focused firm investing across sectors that Feed,  Build,  and Supply our world",https://tekfenventures.com,https://www.linkedin.com/company/tekfen-ventures,United States
Ten Coves Capital,New York,"Fintech,Software,SaaS,Workforce,Supply Chain,Insurtech,PropTech",Growth Equity,$300MM,"Series A,Series B",$12MM,NY,"North America,Europe",,https://www.tencoves.com,https://www.linkedin.com/company/ten-coves-capital,United States
Teneo Ventures,New York,"HRTech,Healthcare,Entertainment,Enterprise",Corporate Venture Capital (CVC),Balance sheet,"Seed,Series A","Less than $250k,
 $250-500k",NY,,,https://teneo.vc,https://www.linkedin.com/company/teneo-ventures,United States
Tenfore Holdings,New York,"AgTech,AI/ML,AR/VR,Apparel,Analytics,Communication,Community,Blockchain,Enterprise,Cyber,Data,Data Services,Deep Tech,Industrial,Healthcare,Logistics,Platforms,Transportation,All Sectors",Institutional Venture Capital (VC),,"Series A,Series B,Seed,Growth",,NY,Globally,,https://tenforeholdings.com,https://www.linkedin.com/company/tenfore-holdings,United States
Teqbahn Labs,New York,AI/ML,Accelerator Fund,,PreSeed,$100K,NY,Globally,,https://teqbahnlabs.com,https://www.linkedin.com/company/teqbahn-labs,United States
The 98,New York,"Adtech,Analytics,Big Data,Clean Tech,Technology,UrbanTech,Sustainability,Supply Chain,Software,AI/ML,Deep Tech,Enterprise,Female Founders,Future of Work,Fintech,HRTech,Insurtech,Martech,Medtech,Silver Tech,SaaS,Platforms,Family Tech",Other,$10MM,"Seed,Series A",$500K,NY,"United States,Europe",,https://www.the98.com,https://www.linkedin.com/company/the-98,United States
The Artemis Fund,"Houston,New York,Austin",All Sectors,"Institutional Venture Capital (VC),Impact Fund,Other","$20MM, $10M to date,  growing to $20M, $20MM+, $36M","Seed,Series A,PreSeed","Less than $250k, $500K, $1MM, $1M-$1.5M",TX,"North America,United States","We focus on Fintech,  Sustainability and LifeTech (Care economy,  Wellness,  etc)",https://artemisfund.com,https://www.linkedin.com/company/the-artemis-fund,United States
The ASCAP Lab,New York,"Entertainment,Video,AI/ML,Analytics,AR/VR,Blockchain,Community,Digital Media,Gaming,Media,Music","Accelerator Fund,Impact Fund",$300k,PreSeed,$5k,NY,North America,,https://www.ascap.com/innovation,https://www.linkedin.com/company/the-ascap-lab,United States
The Brandtech Group,New York,"AI/ML,AR/VR,Creator Economy,Digital Media,Web3,Adtech,Martech",Corporate Venture Capital (CVC),,"Seed,Series A,Series B",$50-$100k,NY,,,https://www.thebrandtechgroup.com,https://www.linkedin.com/company/the-brandtech-group,United States
The Fund,"Los Angeles,New York,Washington DC","Analytics,Clean Tech,Cloud,Commerce,Consumer,Data,Community,Female Founders,Health,Technology,All Sectors","Angel Syndicate,Institutional Venture Capital (VC)","$20MM, $25MM","PreSeed,Seed","$50-100K, $50k","CA,NY,DC","United States,Europe,North America,Oceania,Globally",,https://thefund.vc,https://www.linkedin.com/company/the-fund,United States
The Gate Technologies Capital,New York,"Adtech,AI/ML,Big Data,Blockchain,Cloud,Construction Tech,Cyber,Data Services,Deep Tech,Enterprise,Fintech,Frontier Tech,HRTech,Infrastructure,Platforms,SaaS,Technology,Web3","Family Office,Growth Equity",$300MM,"Growth,Secondary,Series B",$5MM-$25MM,NY,"Europe,North America,United States,Middle East",,https://www.gatetechnologies.com,https://www.linkedin.com/company/the-gate-technologies-capital,United States
The Helm,New York,"All Sectors,Female Founders,AgTech,Biotech,Consumer,Food,Health,Future of Work,Design","Fundraising Platform,Institutional Venture Capital (VC)",$1.4MM,"Seed,Series A,PreSeed","$100K, $250K",NY,"North America,United States",,https://www.thehelm.co,https://www.linkedin.com/company/the-helm,United States
The MBA Fund,"San Francisco Bay Area,New York,Paris,Boston","All Sectors,Software,Enterprise,AI/ML,Cloud,Infrastructure,DevOps,Data","Accelerator Fund,Institutional Venture Capital (VC)",$10MM,"PreSeed,Seed","$75K-$300K, $75k-$100K",CA,"LatAm,North America,United States,Globally",,https://www.mbafund.com,https://www.linkedin.com/company/the-mba-fund,"United States, United States, France"
The Mercantile Companies,New York,"AgTech,Apparel,Wellness,Biotech,Cannabis,Consumer,Entertainment,Life Sciences,Manufacturing,Music,Fitness,Fintech,Blockchain",Family Office,,"PreSeed,Seed,Series A",$25-250k,NY,Globally,,https://www.mercantilecompanies.com,https://www.linkedin.com/company/the-mercantile-companies,United States
The Outsiders Fund,New York,"Aerospace,AgTech,Analytics,Clean Tech,Construction Tech,Data,Data Services,DevOps,Energy,Hardware,Health,Health Care Services,HRTech,Industrial,Infrastructure,Insurtech,Legal,Logistics,Manufacturing,PropTech,Robotics,SaaS,Sustainability,Technology,All Sectors","Institutional Venture Capital (VC),Corporate Venture Capital (CVC)","$100MM, $50M AUM, $150MM","Seed,Series A","$3MM, $1M, $500K-$8MM",NY,"North America,United States,Other (please specify),Globally",,https://www.outsidersfund.com,https://www.linkedin.com/company/the-outsiders-fund,United States
The Raine Group,New York,"AR/VR,Commerce,Community,Consumer,Creator Economy,Content,Esports,Blockchain,Crypto,Entertainment,Fintech,Lifestyle,Marketplaces,Gaming,Music,Web3,Media,Technology","Institutional Venture Capital (VC),Growth Equity",$150MM,"Series A,Seed,Series B,Growth","$2-4MM, $100MM",NY,Globally,,https://www.raine.com,https://www.linkedin.com/company/the-raine-group,United States
The Riverside Company (RAC Fund),New York,"SaaS,Software",Growth Equity,,"Series A,Growth,Series B",$5MM,NY,"Europe,North America",,https://www.riversidecompany.com,https://www.linkedin.com/company/the-riverside-company,United States
The Venture Collective,New York,"AgTech,Biotech,Clean Tech,Deep Tech,Education,Female Founders,Fintech,HRTech,PetTech,SaaS,Social Impact,Technology,Medtech,Sustainability,All Sectors,Commerce,Wellness,Consumer,Future of Work,Diversity,Fitness,Retail,Workforce,Software,Femtech","Institutional Venture Capital (VC),Revenue Based Fund,Family Office,Impact Fund",$30MM,"PreSeed,Seed,Series A","$100k, $100-500k",NY,"United States,Europe,North America","TVC sources pre-seed stage companies from a network of high-profile founders and startup execs,  investing early and working with them extensively across all non-core functions to drive meaningful value and business growth until they are ready to raise institutional capital. For Family Offices,  Institutional Investors,  and HNWIs,  TVC provides Venture as a Service (VaaS),  a highly tailored investment strategy that includes sourcing,  diligence,  and governance to help them make more informed venture investments without being tied up as an LP in a fund paying fees for extended periods.",https://theventurecollective.com,https://www.linkedin.com/company/the-venture-collective,United States
Thesis,New York,Crypto,Venture Studio,,"PreSeed,Seed",$300k,NY,,,https://thesis.vc,https://www.linkedin.com/company/thesis,United States
Third Prime,New York,"All Sectors,Fintech,Industrial",Institutional Venture Capital (VC),"$75MM, $165MM","Seed,Series A",$3MM-$6MM,NY,United States,,https://thirdprime.vc,https://www.linkedin.com/company/third-prime,United States
Thomson Reuters Ventures,New York,"AI/ML,Analytics,Big Data,Cyber,Data,DevOps,Enterprise,Fintech,Future of Work,Insurtech,Legal,Media,Software,SaaS",Corporate Venture Capital (CVC),$100MM,"Seed,Series A",$3MM-$7MM,NY,"Europe,Globally,LatAm,North America,United States",https://twitter.com/vaneezehs,https://www.thomsonreuters.com/en/about-us/innovation/ventures.html,https://www.linkedin.com/company/thomson-reuters-ventures,United States
Threshold Ventures,New York,"Consumer,Enterprise,Health Care Services,Wellness,Healthcare",Institutional Venture Capital (VC),$350MM,Series A,$5MM+,NY,,,https://threshold.vc,https://www.linkedin.com/company/threshold-ventures,United States
Thrive Capital,New York,All Sectors,Institutional Venture Capital (VC),$1BN,"Growth,Seed,Series A,Series B","n/a - varied, $1-5MM",NY,,,https://www.thrivecapital.com,https://www.linkedin.com/company/thrive-capital,United States
TMV,New York,"Future of Work,Healthcare,Design,Consumer,Hardware,Commerce,Wellness,Supply Chain,Health Care Services,Sustainability,Fintech,Care Economy,Logistics","Institutional Venture Capital (VC),Other",$15MM,"PreSeed,Seed,Series A,Series B","$250-500k,
 $500-$1MM,
 $1-$3MM, $250-500k, $1MM, $500k-$2.5MM",NY,"United States,Globally",,https://www.tmv.vc,https://www.linkedin.com/company/tmv,United States
Tola Capital,"San Francisco Bay Area,Seattle,New York","Enterprise,All Sectors,AI/ML",Institutional Venture Capital (VC),"$500MM, $700MM","Growth,Series A,Series B,Seed","$20MM, $3MM for seed, $8MM for A","CA,NY","Globally,Europe,North America,United States",,https://www.tolacapital.com,https://www.linkedin.com/company/tola-capital,United States
Torch Capital,New York,Consumer,Institutional Venture Capital (VC),,"Series A,Series B,Growth",,NY,,,https://torchcapital.com,https://www.linkedin.com/company/torch-capital,United States
Touch Capital,New York,,Growth Equity,"Just closed ~$35M 2022,  targeting another ~$35M close","Series A,Series B",,NY,,,https://www.touchcap.com,https://www.linkedin.com/company/touch-capital,United States
Touchdown Ventures,"New York,Los Angeles,San Francisco Bay Area,Philadelphia,Houston,Chicago",All Sectors,"Corporate Venture Capital (CVC),Other,Institutional Venture Capital (VC)","$500MM, Multiple $50MM - $100MM Funds, $50MM, $40MM, $1.2BN AUM total,  roughly ~$50MM - $100MM per corporate partner","PreSeed,Seed,Series A,Series B,Growth,Secondary","Less than $250k,
 $250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM,
 $10MM+, $2-5MM, $3MM, $4MM, $300K - $3MM, $1-3MM, N/A, <$5MM, $500K - $5MM, $1MM-$10MM, It depends, $1MM - $5MM, $1MM-$2MM, $1MM-$3MM","NY,CA,PA,TX,IL","Globally,North America,United States,Europe,Asia,Other (please specify)",,https://www.touchdownvc.com,https://www.linkedin.com/company/touchdown-ventures,United States
Town Hall Ventures,New York,"Healthcare,Health,Health Care Services,Mental Health","Institutional Venture Capital (VC),Growth Equity,Venture Studio,Other","$350M, $350MM, $1BN+ AUM","Series A,Series B,Growth,PreSeed,Seed","$10MM+, $10M, $20MM-$30MM",NY,United States,,https://www.townhallventures.com,https://www.linkedin.com/company/town-hall-ventures,United States
TPG Rise Fund,"London,New York,San Francisco Bay Area","Consumer,Technology,Government,Software","Growth Equity,Impact Fund",,"Growth,Series B",$100MM,CA,United States,,https://www.therisefund.com,https://www.linkedin.com/company/tpg-rise-fund,"United Kingdom, United States, United States"
TQ Ventures,New York,"AI/ML,Cloud,Analytics,Adtech,Blockchain,Construction Tech,Commerce,Crypto,Cyber,Diagnostics,Energy,DevOps,IoT,Fintech,Enterprise,Deep Tech,Design,Frontier Tech,Logistics,Mobile,Legal,SaaS,Software",Other,$1.2BN,"PreSeed,Seed,Series A,Series B",$5MM,NY,Globally,,https://www.tqventures.com,https://www.linkedin.com/company/tq-ventures,United States
Trajectory Capital,"Philadelphia,New York","Enterprise,Technology",Growth Equity,,Growth,$2MM-$5MM,PA,Globally,,https://trajectorycapital.com,https://www.linkedin.com/company/trajectory-capital,United States
Trend Forward Capital,New York,"Big Data,Blockchain,Consumer,Fintech,Female Founders,IoT",Institutional Venture Capital (VC),$100MM,"Series A,Series B,Seed",$3-5MM,NY,Globally,,https://trendforward.com,https://www.linkedin.com/company/trend-forward-capital,United States
Tribe Capital,New York,All Sectors,Institutional Venture Capital (VC),$1.4BN,"Growth,PreSeed,Seed,Series A,Series B",$5MM,NY,Globally,"Based in New York,  NY and Miami,  FL",https://www.tribecap.co,https://www.linkedin.com/company/tribe-capital,United States
TriplePoint Capital,New York,All Sectors,Institutional Venture Capital (VC),,"Growth,Series A,Series B,Seed",$1MM-$100MM,NY,"Europe,North America",,https://www.triplepointcapital.com,https://www.linkedin.com/company/triplepoint-capital,United States
Tru Arrow Partners,New York,Technology,Growth Equity,$250MM,"Growth,Series A,Series B",$10-25MM,NY,Other (please specify),Tru Arrow is a first time growth equity fund that invests in technology businesses around the world,https://www.truarrowpartners.com,https://www.linkedin.com/company/tru-arrow-partners,United States
True Beauty Ventures,"Miami,New York","Consumer,Female Founders,Wellness,Beauty",Institutional Venture Capital (VC),$16MM,"Series A,Seed,Series B,Growth",$1-3MM,"FL,NY",United States,"True Beauty Ventures invests in emerging growth brands exclusively in beauty,  wellness,  and personal care.",https://www.truebeautyventures.com,https://www.linkedin.com/company/true-beauty-ventures,United States
TrueBridge Capital Partners,"Durham,Raleigh,Chapel Hill,New York","Consumer,Enterprise,Fintech,All Sectors,AI/ML,Blockchain,Crypto,Technology",Institutional Venture Capital (VC),"$450MM, $175M, $175MM","Growth,Series B,Seed,Series A,Secondary","$5-10MM, $5-10M, $10MM, $30MM-$50MM",NC,"United States,Globally,North America",We invest in VC funds as well as startups,https://www.truebridgecapital.com,https://www.linkedin.com/company/truebridge-capital-partners,United States
TSEF: The Social Entrepreneurs' Fund,"Boston,New York","Analytics,Civic Tech,Enterprise,Fintech,Healthcare,SaaS,Social Impact,Software,Future of Work,Risk Management",Impact Fund,"TSEF III is targeting $50M, firm AUM $24M, TSEF III is targeting $50M, total firm AUM $24M","Series A,Series B",$1-2MM,"MA,NY",North America,"TSEF is a market-return oriented impact VC fund,  investing in fintech,  health tech,  and human services tech,  focused on improving access and economic opportunity for low income and underserved communities.",https://tsef.org,,United States
Tusk Venture Partners,New York,"Crypto,Healthcare,Fintech,AI/ML,Transportation,SaaS,Mental Health,Care Economy,Education,Legal,Gaming,Government,Drones,Energy",Institutional Venture Capital (VC),$140MM,"Seed,Series A",$1MM,NY,North America,,https://www.tusk.vc,,United States
Two Bear Capital,"Boston,New York","Biotech,Technology,Enterprise",Institutional Venture Capital (VC),"$250MM, $315MM","Seed,Series A","$4MM-$12MM, $3MM - $10MM","MA,NY","United States,North America",,https://twobearcapital.com,,United States
Two Sigma Ventures,New York,"Big Data,Analytics,Fintech,AI/ML,All Sectors,Deep Tech,Data","Corporate Venture Capital (CVC),Institutional Venture Capital (VC)",$37BN (Hedgefund part),"Seed,Series A,Series B,Growth","$1MM-$3MM, $3MM-9MM, $500K - 10M",NY,,,https://twosigmaventures.com,https://www.linkedin.com/company/two-sigma-ventures,United States
Type Capital,New York,"Consumer,DevOps,Infrastructure,AI/ML",Institutional Venture Capital (VC),,"PreSeed,Seed",$1MM-$2MM,NY,United States,,https://type.capital,https://www.linkedin.com/company/typecapital,United States
Ulu Ventures,"San Francisco Bay Area,New York","All Sectors,SaaS,Big Data,Blockchain,Clean Tech,Crypto,Diversity,Education,Enterprise,Fintech,Future of Work,Social Impact,Software,Technology,Consumer,Care Economy,Gaming,Creator Economy,Femtech,Marketplaces,Mobile Apps,Platforms,Wellness",Institutional Venture Capital (VC),"$138MM, $250MM","Seed,PreSeed,Series A","$1MM, $2MM","CA,NY","United States,North America",Additional focus on diversity: women and minority founders,https://uluventures.com,https://www.linkedin.com/company/ulu-ventures,United States
